date,tmin,tmax,tmean,prpc,et0
2017-04-20,16.11,33.11,25.21,2.23e-08,4.13
2017-04-21,13.96,34.11,25.76,2.23e-08,0.69
2017-04-22,15.13,35.57,26.36,2.28e-08,2.17
2017-04-23,16.42,37.15,27.91,2.33e-08,4.24
2017-04-24,19.26,33.42,27.10,2.33e-08,3.12
2017-04-25,19.53,29.26,24.33,2.10e-08,0.64
2017-04-26,17.65,31.58,25.23,2.25e-08,3.55
2017-04-27,19.72,31.73,26.33,2.36e-08,5.03
2017-04-28,16.64,28.84,23.81,2.12e-08,4.99
2017-04-29,13.43,25.90,20.14,1.77e-08,6.17
2017-04-30,10.85,30.19,22.04,2.05e-08,7.20
2017-05-01,13.08,34.51,24.88,2.22e-08,4.05
2017-05-02,17.80,35.21,27.43,2.38e-08,2.72
2017-05-03,18.28,37.25,29.30,2.54e-08,4.45
2017-05-04,19.30,39.18,30.58,2.55e-08,4.99
2017-05-05,19.17,41.17,32.09,2.58e-08,5.96
2017-05-06,21.55,35.48,28.37,2.50e-08,5.44
2017-05-07,15.93,21.97,18.93,1.74e-08,6.21
2017-05-08,13.05,25.84,19.24,1.86e-08,5.36
2017-05-09,12.40,23.42,17.66,1.73e-08,5.89
2017-05-10,13.51,25.94,19.97,1.90e-08,6.40
2017-05-11,15.03,32.44,24.38,2.26e-08,7.15
2017-05-12,20.11,36.33,28.78,2.53e-08,5.71
2017-05-13,20.16,36.62,28.39,2.48e-08,4.37
2017-05-14,18.55,34.04,26.22,2.32e-08,4.67
2017-05-15,17.64,29.79,23.66,2.15e-08,4.93
2017-05-16,13.13,24.79,19.66,1.83e-08,4.78
2017-05-17,14.17,30.36,22.14,2.09e-08,5.72
2017-05-18,18.25,29.15,24.12,2.24e-08,5.14
2017-05-19,15.01,29.74,22.73,2.13e-08,4.49
2017-05-20,15.66,33.42,26.12,2.33e-08,2.10
2017-05-21,17.05,37.69,29.03,2.44e-08,4.54
2017-05-22,19.26,39.29,31.22,2.56e-08,6.10
2017-05-23,22.87,40.09,32.55,2.69e-08,6.05
2017-05-24,23.55,41.93,33.25,2.65e-08,5.48
2017-05-25,24.28,37.43,30.97,2.64e-08,5.44
2017-05-26,21.68,35.23,28.25,2.47e-08,6.10
2017-05-27,17.32,35.44,27.29,2.41e-08,6.44
2017-05-28,19.82,38.04,29.89,2.52e-08,6.35
2017-05-29,19.59,39.23,31.08,2.55e-08,4.20
2017-05-30,20.77,38.76,30.55,2.60e-08,5.63
2017-05-31,21.72,37.88,30.39,2.59e-08,5.59
2017-06-01,23.00,36.37,29.90,2.60e-08,6.35
2017-06-02,20.75,38.40,30.38,2.59e-08,6.44
2017-06-03,23.53,41.29,33.69,2.74e-08,5.55
2017-06-04,24.61,41.25,34.43,2.78e-08,5.31
2017-06-05,24.65,41.16,34.62,2.80e-08,6.33
2017-06-06,24.51,41.37,33.90,2.76e-08,6.80
2017-06-07,25.42,41.02,33.55,2.75e-08,3.82
2017-06-08,22.46,40.33,32.98,2.67e-08,6.44
2017-06-09,24.49,40.50,33.74,2.74e-08,7.56
2017-06-10,21.41,39.49,31.16,2.64e-08,9.41
