plot,scientificname,genotype,treatment,date,trait,method,mean,checked,author,season,method_type
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_length,3D scanner to leaf length and width,62.169,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_length,3D scanner to leaf length and width,80.707,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-06,leaf_length,3D scanner to leaf length and width,91.915,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_length,3D scanner to leaf length and width,69.534,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-17,leaf_length,3D scanner to leaf length and width,150.593,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 15 Column 4,Sorghum bicolor,PI156890,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-02,leaf_length,3D scanner to leaf length and width,56.232,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 21 Column 4,Sorghum bicolor,PI152961,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-18,leaf_length,3D scanner to leaf length and width,160.158,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 21 Column 4,Sorghum bicolor,PI152961,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-07,leaf_length,3D scanner to leaf length and width,96.367,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 21 Column 4,Sorghum bicolor,PI152961,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_length,3D scanner to leaf length and width,78.634,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-18,leaf_length,3D scanner to leaf length and width,160.207,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-19,leaf_length,3D scanner to leaf length and width,173.966,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-15,leaf_length,3D scanner to leaf length and width,148.065,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_length,3D scanner to leaf length and width,190.261,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 36 Column 4,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-30,leaf_length,3D scanner to leaf length and width,46.882,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 36 Column 4,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_length,3D scanner to leaf length and width,56.888,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 36 Column 4,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-10,leaf_length,3D scanner to leaf length and width,143.824,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 37 Column 4,Sorghum bicolor,PI570031,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_length,3D scanner to leaf length and width,51.794,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 42 Column 4,Sorghum bicolor,PI154844,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-30,leaf_length,3D scanner to leaf length and width,45.212,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 42 Column 4,Sorghum bicolor,PI154844,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_length,3D scanner to leaf length and width,68.585,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 42 Column 4,Sorghum bicolor,PI154844,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_length,3D scanner to leaf length and width,182.874,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 43 Column 4,Sorghum bicolor,PI329711,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_length,3D scanner to leaf length and width,79.505,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 43 Column 4,Sorghum bicolor,PI329711,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-07,leaf_length,3D scanner to leaf length and width,106.721,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 43 Column 4,Sorghum bicolor,PI329711,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_length,3D scanner to leaf length and width,201.427,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 4,Sorghum bicolor,PI156487,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_length,3D scanner to leaf length and width,47.352,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 4,Sorghum bicolor,PI156487,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-06,leaf_length,3D scanner to leaf length and width,86.903,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 46 Column 4,Sorghum bicolor,PI576401,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_length,3D scanner to leaf length and width,72.924,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 46 Column 4,Sorghum bicolor,PI576401,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_length,3D scanner to leaf length and width,65.349,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-06,leaf_length,3D scanner to leaf length and width,73.625,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_length,3D scanner to leaf length and width,55.325,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_length,3D scanner to leaf length and width,54.487,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-23,leaf_length,3D scanner to leaf length and width,159.842,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_length,3D scanner to leaf length and width,167.06,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 4,Sorghum bicolor,PI535794,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-27,leaf_length,3D scanner to leaf length and width,12.31,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 4,Sorghum bicolor,PI535794,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_length,3D scanner to leaf length and width,39.916,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_length,3D scanner to leaf length and width,66.843,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_length,3D scanner to leaf length and width,62.247,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_length,3D scanner to leaf length and width,65.815,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-19,leaf_length,3D scanner to leaf length and width,177.734,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-23,leaf_length,3D scanner to leaf length and width,183.246,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 52 Column 4,Sorghum bicolor,PI155760,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_length,3D scanner to leaf length and width,73.593,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 16 Column 5,Sorghum bicolor,PI506069,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_length,3D scanner to leaf length and width,62.074,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 16 Column 5,Sorghum bicolor,PI506069,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,63.685,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 16 Column 5,Sorghum bicolor,PI506069,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_length,3D scanner to leaf length and width,69.993,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_length,3D scanner to leaf length and width,28.729,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_length,3D scanner to leaf length and width,91.539,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,60.308,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_length,3D scanner to leaf length and width,96.135,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_length,3D scanner to leaf length and width,145.645,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 20 Column 5,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_length,3D scanner to leaf length and width,32.126,0,Zeyu Zhang,Season 4,sensor
