plot,scientificname,genotype,treatment,date,trait,method,mean,checked,author,season,method_type
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_width,3D scanner to leaf length and width,5.067,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_width,3D scanner to leaf length and width,9.532,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-06,leaf_width,3D scanner to leaf length and width,8.418,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_width,3D scanner to leaf length and width,6.928,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 4,Sorghum bicolor,PI562985,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-17,leaf_width,3D scanner to leaf length and width,23.226,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 15 Column 4,Sorghum bicolor,PI156890,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-02,leaf_width,3D scanner to leaf length and width,5.85,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 21 Column 4,Sorghum bicolor,PI152961,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-18,leaf_width,3D scanner to leaf length and width,25.052,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 39 Column 14,Sorghum bicolor,PI643016,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_width,3D scanner to leaf length and width,3.095,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 21 Column 4,Sorghum bicolor,PI152961,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-07,leaf_width,3D scanner to leaf length and width,11.968,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 21 Column 4,Sorghum bicolor,PI152961,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_width,3D scanner to leaf length and width,7.54,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-07,leaf_width,3D scanner to leaf length and width,10.196,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-18,leaf_width,3D scanner to leaf length and width,24.195,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-19,leaf_width,3D scanner to leaf length and width,25.942,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-15,leaf_width,3D scanner to leaf length and width,21.272,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 4,Sorghum bicolor,PI563006,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_width,3D scanner to leaf length and width,31.331,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 36 Column 4,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-30,leaf_width,3D scanner to leaf length and width,5.172,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 36 Column 4,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_width,3D scanner to leaf length and width,5.222,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 36 Column 4,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-10,leaf_width,3D scanner to leaf length and width,15.247,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 37 Column 4,Sorghum bicolor,PI570031,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_width,3D scanner to leaf length and width,5.628,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 42 Column 4,Sorghum bicolor,PI154844,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-30,leaf_width,3D scanner to leaf length and width,4.918,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 42 Column 4,Sorghum bicolor,PI154844,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_width,3D scanner to leaf length and width,32.223,0,Zeyu Zhang,Season 4,sensor
